age_bracket,fraction_male,fraction_female
0_4,0.5348837209302325,0.46511627906976744
4_9,0.38636363636363635,0.6136363636363636
10_14,0.7121212121212122,0.2878787878787879
15_19,0.38961038961038963,0.6103896103896104
20_24,0.38666666666666666,0.6133333333333333
25_29,0.5540540540540541,0.44594594594594594
30_34,0.6944444444444444,0.3055555555555556
35_39,0.4426229508196721,0.5573770491803278
40_44,0.6212121212121212,0.3787878787878788
45_49,0.3958333333333333,0.6041666666666666
50_54,0.3225806451612903,0.6774193548387096
55_59,0.7777777777777778,0.2222222222222222
60_64,0.3473684210526316,0.6526315789473685
65_69,0.39285714285714285,0.6071428571428571
70_74,0.3191489361702128,0.6808510638297872
75_99,0.3816793893129771,0.6183206106870229
