age_bracket,fraction_male,fraction_female
0_4,0.08598130841121496,0.06611570247933884
4_9,0.06355140186915888,0.08925619834710743
10_14,0.08785046728971962,0.03140495867768595
15_19,0.056074766355140186,0.07768595041322314
20_24,0.05420560747663551,0.07603305785123966
25_29,0.07663551401869159,0.05454545454545454
30_34,0.04672897196261682,0.01818181818181818
35_39,0.05046728971962617,0.05619834710743802
40_44,0.07663551401869159,0.04132231404958678
45_49,0.03551401869158879,0.047933884297520664
50_54,0.037383177570093455,0.06942148760330578
55_59,0.10467289719626169,0.026446280991735537
60_64,0.0616822429906542,0.1024793388429752
65_69,0.041121495327102804,0.05619834710743802
70_74,0.028037383177570093,0.05289256198347107
75_99,0.09345794392523364,0.13388429752066117
