,safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags
225595,sg:6d80b12784144e05b1f5fbcdf9109a26,,Love's Travel Stops and Country Stores,SG_BRAND_a890863e98c0d1a96e42033251df22b3,Love's Travel Stops and Country Stores,Gasoline Stations,Gasoline Stations with Convenience Stores,447110.0,35.377848,-97.49623100000001,845 SE 89th St,Oklahoma City,OK,73149,US,,,
225680,sg:73329500c2b24eb088379931030179bd,,KFC,SG_BRAND_75e52dcc790fbad91ae83227c0fb6e2f,KFC,Restaurants and Other Eating Places,Limited-Service Restaurants,722513.0,35.389551000000004,-97.530521,7617 S Western Ave,Oklahoma City,OK,73139,US,14056361143.0,"{ ""Mon"": [[""10:30"", ""23:00""]], ""Tue"": [[""10:30"", ""23:00""]], ""Wed"": [[""10:30"", ""23:00""]], ""Thu"": [[""10:30"", ""23:00""]], ""Fri"": [[""10:30"", ""23:00""]], ""Sat"": [[""10:30"", ""23:00""]], ""Sun"": [[""10:30"", ""23:00""]] }","Counter Service,Lunch,Fast Food,Drive Through,Breakfast,Catering,Fried Chicken,Dinner"
226333,sg:a02b4851259749e38b956c3cc2775496,,U Haul Trailer Hitch Super Center at Southside,,,Building Material and Supplies Dealers,Hardware Stores,444130.0,35.435526,-97.570789,3097 SW 29th St,Oklahoma City,OK,73119,US,14052125420.0,"{ ""Mon"": [[""7:00"", ""19:00""]], ""Tue"": [[""7:00"", ""19:00""]], ""Wed"": [[""7:00"", ""19:00""]], ""Thu"": [[""7:00"", ""19:00""]], ""Fri"": [[""7:00"", ""20:00""]], ""Sat"": [[""7:00"", ""19:00""]], ""Sun"": [[""9:00"", ""17:00""]] }",
226373,sg:a2d8a8dd16084e16a8cd50546a908a01,,Oral Surgery Specialists of Oklahoma,,,Offices of Dentists,Offices of Dentists,621210.0,35.604751,-97.59865,4320 McAuley Blvd,Oklahoma City,OK,73120,US,,"{ ""Mon"": [[""8:30"", ""16:30""]], ""Tue"": [[""8:30"", ""16:30""]], ""Wed"": [[""8:30"", ""16:30""]], ""Thu"": [[""8:30"", ""16:30""]], ""Fri"": [[""8:30"", ""15:00""]], ""Sat"": [], ""Sun"": [] }",
226792,sg:c23405f4a4e841029ad3d29d67652984,,Henry Hudson's Pub,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.530158,-97.57999000000001,3509 NW 58th St,Oklahoma City,OK,73112,US,14059465771.0,"{ ""Mon"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Tue"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Wed"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Thu"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Fri"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""11:00"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""16:00"", ""24:00""]] }","Bar or Pub,Late Night"
228103,sg:26b62361bc44414c894088a69a74ca09,,Johnie's Used Cars,,,Automobile Dealers,Used Car Dealers,441120.0,35.479411999999996,-97.606255,4709 NW 10th St,Oklahoma City,OK,73127,US,14059426797.0,,
228775,sg:56f005acc99e484abbee40dc4846bffb,,Taiwan Chinese Food,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.497559,-97.58314399999999,2816 N Portland Ave,Oklahoma City,OK,73107,US,14059469528.0,,Chinese Food
229175,sg:71a8b5061b534013801fad4da6e6a794,,The PLEX,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190.0,35.597910999999996,-97.52820799999999,801 NW 122nd St,Oklahoma City,OK,73114,US,14057756100.0,,
229179,sg:7233628228ae4720a773100821b15ae5,,San Marcos Restaurant,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.593373,-97.639052,12201 N Rockwell Ave,Oklahoma City,OK,73162,US,14057221172.0,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:30""]], ""Sat"": [[""11:00"", ""21:30""]], ""Sun"": [[""11:00"", ""21:00""]] }",Mexican Food
232915,sg:8b377e85d32b47ac94c1be33e9dcf69a,,Pho Ca Dao Restaurant,,,Restaurants and Other Eating Places,Full-Service Restaurants,722511.0,35.493967,-97.532938,2431 N Classen Blvd,Oklahoma City,OK,73106,US,14055218819.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""10:00"", ""17:00""]] }",Vietnamese Food
232934,sg:8cfa97e4fb114cfc8210d8e0bd26b4d9,,A Step Above Roofing,,,Services to Buildings and Dwellings,Carpet and Upholstery Cleaning Services,561740.0,35.551799,-97.521041,7925 N Hudson Ave Ste B,Oklahoma City,OK,73114,US,14052857647.0,,
233066,sg:967173fd0bc242e292279388ead26018,sg:ed9ae637f0854873b5d8968453e149c4,Francesca's,SG_BRAND_10fda0b6156ded42,Francesca's,Clothing Stores,Women's Clothing Stores,448120.0,35.613201000000004,-97.55913100000001,2501 W Memorial Rd Ste 157,Oklahoma City,OK,73134,US,14057485205.0,,
233715,sg:c8bf3574d82342c5bf24c60f6de69f07,,Robert Smith Counseling,,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330.0,35.514513,-97.593089,4200 Perimeter Center Dr Ste 245,Oklahoma City,OK,73112,US,14059175258.0,"{ ""Mon"": [[""7:00"", ""16:00""]], ""Tue"": [[""7:00"", ""16:00""]], ""Wed"": [[""7:00"", ""16:00""]], ""Thu"": [[""7:00"", ""16:00""]], ""Fri"": [[""7:00"", ""16:00""]], ""Sat"": [], ""Sun"": [] }",
233916,sg:d7a3b9e489d341dfb51625b5a71c92f7,,AT&T,SG_BRAND_5deb800ce9500e72e355137ab8b48fb6,AT&T,Wired and Wireless Telecommunications Carriers,Wireless Telecommunications Carriers (except Satellite),517312.0,35.461834,-97.618073,500 S MacArthur Blvd Ste 300,Oklahoma City,OK,73128,US,14059420539.0,"{ ""Mon"": [[""10:00"", ""20:00""]], ""Tue"": [[""10:00"", ""20:00""]], ""Wed"": [[""10:00"", ""20:00""]], ""Thu"": [[""10:00"", ""20:00""]], ""Fri"": [[""10:00"", ""20:00""]], ""Sat"": [[""10:00"", ""20:00""]], ""Sun"": [[""12:00"", ""18:00""]] }",
234162,sg:ee3da26fbc474dac9f1fcf1383949721,,Blackbird Salon,,,Personal Care Services,Beauty Salons,812112.0,35.333975,-97.529225,824 SW 134th St,Oklahoma City,OK,73170,US,14057593944.0,,
234551,sg:0a018120bf8948cfb0c88af4e41815d9,,Clawson Chiropractic,,,Offices of Other Health Practitioners,Offices of Chiropractors,621310.0,35.524637,-97.560227,2620 NW Expressway Ste A,Oklahoma City,OK,73112,US,14052017829.0,,
