geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
01000US,United States,119730128,232429,7584305,18464,5507051,15243,5488289,17043,5658672,16600,5558387,15816,5559047,15601,5192595,16659,5276041,16523,4656185,15063,9140757,23730,11769465,34020,14937330,47276,10600942,51888,6932183,35577,7513313,42617,8355566,47620
04000US40,Oklahoma,1474620,3107,104686,1610,79794,1748,80385,1348,81892,1526,81511,1570,79230,1573,73745,1633,73955,1629,64010,1162,121219,1782,153601,1955,179466,2341,114397,1658,65039,1385,62455,1226,59235,1325
05000US40113,"Osage County, OK",18165,246,1447,180,1068,146,1143,198,935,156,1053,166,1133,159,1000,169,760,135,907,147,1573,185,1874,214,2196,208,1309,150,783,118,583,116,401,87
16000US4004250,"Barnsdall, OK",459,39,43,16,49,18,51,18,21,13,22,11,21,12,13,11,27,14,26,15,45,16,49,20,54,21,23,14,8,7,7,8,0,9
31000US46140,"Tulsa, OK Metro Area",380053,882,25208,702,18169,680,19259,633,19816,658,20128,726,19095,538,18406,677,19401,686,16875,593,31486,788,39366,926,47249,944,30705,803,18466,662,18577,739,17847,615
