,safegraph_place_id,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags
562,sg:28eb3661cb614bd58642dd111ac942c6,,Central Oklahoma Ambulatory Surgical Center,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,35.537062,-97.574938,3301 NW 63rd St,Oklahoma City,OK,73116,US,,,
721,sg:35c969aa2dc04b1c8d33223bf3aa11c4,,Hurts Donut,,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,35.493567,-97.522745,601 NW 23rd St,Oklahoma City,OK,73103,US,14058398343,,Donut Shop
969,sg:46bcabe03e1b42308f483015014a184d,sg:5d38c02bb8494eb49dff4a31ff7e3bc8,Express Employment Professionals,SG_BRAND_ebb052acad0f1ee8c75830232699bde0,Express Employment Professionals,Employment Services,Employment Placement Agencies,561311,35.554184,-97.627376,6401 NW Expressway Ste 108,Oklahoma City,OK,73132,US,14057201000,,
1778,sg:8225f79c34ab4971a8aa4dcc6b11e9a8,,Nail Spa Hair,,,Personal Care Services,Nail Salons,812113,35.507818,-97.563219,2741 NW 36th St,Oklahoma City,OK,73112,US,14059175827,,
2017,sg:943bb85ed05745efbefefa743549fdbe,,24 Fit Gym,,,,,,35.376235,-97.530984,9101 S Western Ave,Oklahoma City,OK,73139,US,,,
2141,sg:9ddbc20cac1d4f9a906bc39c2c55833e,sg:7df275ab40b04bf28ff089dfb40b5e83,Pearle Vision,SG_BRAND_12296f1d4dc0772a7d874115bd3c84c9,Pearle Vision,Health and Personal Care Stores,Optical Goods Stores,446130,35.558176,-97.642038,8549 N Rockwell Ave,Oklahoma City,OK,73132,US,14057208316,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",
2162,sg:a017404c54b14d4c803c389c9d29fc97,,Masters Car Wash,,,Automotive Repair and Maintenance,Car Washes,811192,35.615753,-97.548909,2025 NW 142nd St,Oklahoma City,OK,73134,US,14056080570,"{ ""Mon"": [[""8:30"", ""17:30""]], ""Tue"": [[""8:30"", ""17:30""]], ""Wed"": [[""8:30"", ""17:30""]], ""Thu"": [[""8:30"", ""17:30""]], ""Fri"": [[""8:30"", ""17:30""]], ""Sat"": [[""8:30"", ""17:00""]], ""Sun"": [[""11:00"", ""17:00""]] }",
2625,sg:c3351896d7e4427fb265cc845cfc1e44,sg:5aa3ed53c73743dca5f3dc7203750543,Old Navy,SG_BRAND_b9051db14066a865167ed2cea172b3e2,Old Navy,Clothing Stores,Family Clothing Stores,448140,35.526533,-97.5363,1711 Belle Isle Blvd,Oklahoma City,OK,73118,US,14058434411,"{ ""Mon"": [[""9:00"", ""21:00""]], ""Tue"": [[""9:00"", ""21:00""]], ""Wed"": [[""9:00"", ""21:00""]], ""Thu"": [[""9:00"", ""21:00""]], ""Fri"": [[""9:00"", ""21:00""]], ""Sat"": [[""9:00"", ""21:00""]], ""Sun"": [[""11:00"", ""19:00""]] }",
2883,sg:d79672ab2aec42c7bfcc0391d5b159b5,,Sheila Newcomb DO,,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,35.401072,-97.530767,6501 S Western Ave,Oklahoma City,OK,73139,US,14058968772,,
